Timestamp,Source_Country,Target_Country,Source_IP,Target_IP,Attack_Type,Port,Severity,Attack_Duration_Seconds,Year,Month,Hour,Date
2023-09-10,Brazil,Italy,61.112.52.166,247.105.93.41,SQL Injection,8080,High,1217,2023,9,0,2023-09-10
2024-08-08,Indonesia,Australia,219.36.112.87,100.69.231.218,Ransomware,5432,High,3350,2024,8,0,2024-08-08
2017-05-10,Poland,India,183.85.13.165,231.203.106.139,DDoS,21,High,1681,2017,5,0,2017-05-10
2018-07-18,Brazil,India,47.90.232.199,248.184.146.140,DDoS,80,Critical,3107,2018,7,0,2018-07-18
2018-02-04,Spain,Indonesia,238.231.22.167,249.144.27.100,SQL Injection,80,Low,679,2018,2,0,2018-02-04
2017-12-31,Canada,Australia,215.58.30.146,145.241.85.119,Phishing,8080,Low,3316,2017,12,0,2017-12-31
2023-06-20,Russia,Russia,254.106.146.238,229.31.109.163,DDoS,443,Medium,1609,2023,6,0,2023-06-20
2019-06-27,China,UK,74.167.94.154,27.87.160.17,SQL Injection,3389,Critical,2693,2019,6,0,2019-06-27
2020-12-09,India,Turkey,71.7.197.65,11.129.220.82,DDoS,443,Low,1097,2020,12,0,2020-12-09
2016-04-11,Australia,Poland,46.18.141.153,49.41.20.71,Phishing,25,Critical,627,2016,4,0,2016-04-11
2018-05-23,Poland,Indonesia,232.8.74.160,37.126.144.39,Ransomware,443,Critical,1291,2018,5,0,2018-05-23
2015-11-27,Canada,USA,145.102.79.79,109.173.64.175,Malware,3389,Medium,3406,2015,11,0,2015-11-27
2019-01-22,Spain,India,121.176.63.40,23.32.177.209,Port Scan,21,Critical,622,2019,1,0,2019-01-22
2020-11-05,UK,China,243.84.15.99,123.19.106.226,XSS,80,Low,1192,2020,11,0,2020-11-05
2024-06-06,Mexico,USA,134.222.121.63,206.247.67.167,Phishing,53,Medium,728,2024,6,0,2024-06-06
2023-09-07,Australia,UK,136.223.128.112,89.60.11.49,Malware,25,Medium,3412,2023,9,0,2023-09-07
2022-12-29,Brazil,Canada,111.32.45.122,143.128.211.61,Phishing,22,Critical,2145,2022,12,0,2022-12-29
2015-05-11,Germany,Canada,180.207.82.13,171.143.207.230,XSS,53,Medium,900,2015,5,0,2015-05-11
2019-08-13,Australia,Indonesia,24.168.14.220,207.253.201.5,Ransomware,5432,Medium,1616,2019,8,0,2019-08-13
2024-04-03,USA,Turkey,203.70.62.120,211.216.29.190,SQL Injection,21,High,2777,2024,4,0,2024-04-03
2017-02-08,Australia,China,89.189.1.217,188.69.150.13,Port Scan,25,Medium,698,2017,2,0,2017-02-08
2021-07-19,China,UK,194.126.32.141,178.116.241.175,Phishing,3389,High,1985,2021,7,0,2021-07-19
2019-02-24,India,UK,161.32.56.152,110.157.80.100,SQL Injection,443,Critical,2931,2019,2,0,2019-02-24
2024-07-17,Australia,South Korea,91.4.216.23,17.148.206.114,Phishing,5432,Medium,3136,2024,7,0,2024-07-17
2022-10-24,China,Russia,29.98.149.30,6.22.232.137,Port Scan,21,Medium,1603,2022,10,0,2022-10-24
2021-08-30,China,Australia,90.148.144.67,160.88.33.205,Port Scan,443,Low,96,2021,8,0,2021-08-30
2018-04-30,Brazil,Russia,177.101.58.232,227.70.49.104,SQL Injection,8080,High,3441,2018,4,0,2018-04-30
2017-08-13,Italy,Canada,172.25.23.236,158.102.144.193,Ransomware,80,Low,3417,2017,8,0,2017-08-13
2021-05-13,USA,Australia,187.129.97.143,106.82.86.218,Malware,5432,Low,3051,2021,5,0,2021-05-13
2018-03-30,Netherlands,Brazil,128.81.226.209,14.184.165.49,DDoS,25,Critical,2490,2018,3,0,2018-03-30
2016-04-04,China,Netherlands,180.186.169.172,206.218.50.164,DDoS,3306,Medium,2499,2016,4,0,2016-04-04
2024-04-08,Sweden,Sweden,4.205.196.135,180.23.66.231,DDoS,25,High,1927,2024,4,0,2024-04-08
2015-01-22,Indonesia,Indonesia,46.251.9.215,199.231.173.115,DDoS,443,Critical,2282,2015,1,0,2015-01-22
2021-04-19,India,Brazil,161.33.84.132,214.28.230.20,DDoS,80,Medium,1699,2021,4,0,2021-04-19
2017-01-17,India,Germany,65.246.106.34,177.185.210.121,Malware,3306,Medium,1181,2017,1,0,2017-01-17
2022-12-14,India,Italy,219.85.88.207,216.97.187.119,Brute Force,21,Low,2024,2022,12,0,2022-12-14
